"Name","Total Time","Total Time (CPU)","Invocations"
"main","138 ms (-0%)","116 ms (-0%)","1"
" CS_214_Project.run (String[])","138 ms (-0%)","116 ms (-0%)","1"
"  PgmValidator.checkHeaders ()","74.5 ms (-0%)","64.8 ms (-0%)","1"
"   PgmValidator.checkOnlyContainsInts (java.io.File)","31.9 ms (-0%)","30.2 ms (-0%)","7"
"   PgmValidator.checkDims (java.io.File)","31.6 ms (-0%)","30.1 ms (-0%)","7"
"   PgmValidator.checkPx (java.io.File)","3.29 ms (-0%)","0.955 ms (-0%)","7"
"   PgmValidator.checkWidth (java.io.File)","3.24 ms (-0%)","1.71 ms (-0%)","7"
"   PgmValidator.checkHeight (java.io.File)","2.29 ms (-0%)","1.9 ms (-0%)","7"
"   PgmValidator.checkFormat (java.io.File)","2.4 ms (-0%)","0.548 ms (-0%)","7"
"   Self time","0.095 ms (-0%)","0.232 ms (-0%)","1"
"  Histogram.createListFromFile (java.io.File)","42.0 ms (-0%)","36.6 ms (-0%)","7"
"  Self time","6.38 ms (-0%)","3.22 ms (-0%)","1"
"  FileValidator.empty ()","5.25 ms (-0%)","4.71 ms (-0%)","1"
"  PgmValidator.validateFiles ()","3.50 ms (-0%)","0.936 ms (-0%)","1"
"   PgmValidator.empty (java.io.File)","1.98 ms (-0%)","0.752 ms (-0%)","7"
"   PgmValidator.exists (java.io.File)","1.47 ms (-0%)","0.147 ms (-0%)","7"
"   Self time","0.041 ms (-0%)","0.036 ms (-0%)","1"
"  Perceptron.epoch ()","2.92 ms (-0%)","2.86 ms (-0%)","100"
"   Perceptron.updateWeight (Histogram)","1.76 ms (-0%)","1.75 ms (-0%)","700"
"    Self time","1.70 ms (-0%)","1.70 ms (-0%)","700"
"    Perceptron.updateBias (Histogram, int)","0.058 ms (-0%)","0.052 ms (-0%)","700"
"   Perceptron.calculatePerceptronValue (Histogram)","1.1 ms (-0%)","0.966 ms (-0%)","700"
"    Perceptron.weightTimesHistogram (Histogram)","0.858 ms (-0%)","0.859 ms (-0%)","700"
"    Self time","0.160 ms (-0%)","0.106 ms (-0%)","700"
"   Self time","0.139 ms (-0%)","0.141 ms (-0%)","100"
"  Histogram.rangeCounter (java.util.ArrayList)","2.23 ms (-0%)","2.22 ms (-0%)","7"
"  FileValidator.createList ()","0.854 ms (-0%)","0.642 ms (-0%)","1"
"  FileValidator.exists ()","0.314 ms (-0%)","0.024 ms (-0%)","1"
"  Perceptron.calculatePerceptronValue (Histogram)","0.116 ms (-0%)","0.055 ms (-0%)","7"
"   Perceptron.weightTimesHistogram (Histogram)","0.105 ms (-0%)","0.045 ms (-0%)","7"
"   Self time","0.010 ms (-0%)","0.010 ms (-0%)","7"
"  Histogram.createMapFromList ()","0.105 ms (-0%)","0.104 ms (-0%)","7"
"  CS_214_Project.checkClassArg (String)","0.063 ms (-0%)","0.026 ms (-0%)","1"
"  Histogram.getSum (double[])","0.048 ms (-0%)","0.048 ms (-0%)","7"
"  FileValidator.checkList ()","0.024 ms (-0%)","0.024 ms (-0%)","1"
"  Histogram.normalize (double[], Double)","0.018 ms (-0%)","0.018 ms (-0%)","7"
"  Perceptron.fillWeightMap ()","0.016 ms (-0%)","0.016 ms (-0%)","1"
"  Histogram.convertToDouble (int[])","0.007 ms (-0%)","0.007 ms (-0%)","7"
